CatalogKey,StockItemKey,PriceGroup,CurrencyCode,Price,Retail
ALL,840290907791,LP,USD,134.5,269.0
ALL,840290907807,LP,USD,134.5,269.0
ALL,840290907814,LP,USD,134.5,269.0
ALL,840290907821,LP,USD,109.5,219.0
ALL,840290907838,LP,USD,109.5,219.0
ALL,840290907845,LP,USD,134.5,269.0
ALL,840290907852,LP,USD,109.5,219.0
ALL,840290907869,LP,USD,109.5,219.0
ALL,840290907876,LP,USD,109.5,219.0
ALL,840290907883,LP,USD,109.5,219.0
ALL,840290907890,LP,USD,109.5,219.0
ALL,840290907906,LP,USD,80.0,259.0
ALL,840290907913,LP,USD,80.0,259.0
ALL,840290907920,LP,USD,80.0,259.0
ALL,840290907937,LP,USD,80.0,259.0
ALL,840290907944,LP,USD,80.0,259.0
ALL,840290907951,LP,USD,67.5,209.0
ALL,810070828912,LP,USD,67.5,209.0
ALL,810070828929,LP,USD,67.5,209.0
ALL,810070828936,LP,USD,67.5,209.0
ALL,810070828943,LP,USD,67.5,209.0
ALL,810070828950,LP,USD,67.5,209.0
ALL,810070821968,LP,USD,134.5,269.0
ALL,810070821975,LP,USD,134.5,269.0
ALL,810070821982,LP,USD,109.5,219.0
ALL,810070821999,LP,USD,109.5,219.0
ALL,810070822002,LP,USD,134.5,269.0
ALL,810070822019,LP,USD,134.5,269.0
ALL,810070822026,LP,USD,109.5,219.0
ALL,810070822033,LP,USD,109.5,219.0
ALL,810070822057,LP,USD,109.5,219.0
ALL,810070822064,LP,USD,134.5,269.0
ALL,810070822071,LP,USD,134.5,269.0
ALL,810070822095,LP,USD,109.5,219.0
ALL,840290906350,LP,USD,134.5,269.0
ALL,840290906367,LP,USD,134.5,269.0
ALL,840290906374,LP,USD,134.5,269.0
ALL,840290906381,LP,USD,134.5,269.0
ALL,840290906398,LP,USD,134.5,269.0
ALL,840290906404,LP,USD,109.5,219.0
ALL,840290906411,LP,USD,109.5,219.0
ALL,840290906428,LP,USD,134.5,269.0
ALL,840290906435,LP,USD,109.5,219.0
ALL,840290906442,LP,USD,109.5,219.0
ALL,840290906459,LP,USD,109.5,219.0
ALL,840290906466,LP,USD,109.5,219.0
ALL,840290906473,LP,USD,109.5,219.0
ALL,840290906480,LP,USD,134.5,269.0
ALL,840290906497,LP,USD,134.5,269.0
ALL,840290906503,LP,USD,134.5,269.0
ALL,840290906510,LP,USD,134.5,269.0
ALL,840290906527,LP,USD,134.5,269.0
ALL,840290907302,LP,USD,67.5,209.0
ALL,840290907968,LP,USD,67.5,209.0
ALL,840290907975,LP,USD,80.0,259.0
ALL,840290907982,LP,USD,67.5,209.0
ALL,840290907999,LP,USD,67.5,209.0
ALL,840290908002,LP,USD,67.5,209.0
ALL,840290908019,LP,USD,67.5,209.0
ALL,840290908026,LP,USD,67.5,209.0
ALL,810070829926,LP,USD,67.5,209.0
ALL,810070829933,LP,USD,67.5,209.0
ALL,810070822101,LP,USD,134.5,269.0
ALL,810070822118,LP,USD,134.5,269.0
ALL,810070822125,LP,USD,109.5,219.0
ALL,810070822132,LP,USD,109.5,219.0
ALL,810070822149,LP,USD,109.5,219.0
ALL,840290905216,LP,USD,134.5,269.0
ALL,840290905223,LP,USD,134.5,269.0
ALL,840290905254,LP,USD,134.5,269.0
ALL,840290905261,LP,USD,134.5,269.0
ALL,840290905230,LP,USD,109.5,219.0
ALL,840290905339,LP,USD,134.5,269.0
ALL,840290905346,LP,USD,109.5,219.0
ALL,840290905247,LP,USD,109.5,219.0
ALL,840290905278,LP,USD,109.5,219.0
ALL,840290905285,LP,USD,109.5,219.0
ALL,840290905322,LP,USD,109.5,219.0
ALL,840290905292,LP,USD,134.5,269.0
ALL,840290905308,LP,USD,109.5,219.0
ALL,840290904684,LP,USD,134.5,269.0
ALL,840290904691,LP,USD,134.5,269.0
ALL,840290904738,LP,USD,134.5,269.0
ALL,840290904707,LP,USD,109.5,219.0
ALL,840290907319,LP,USD,67.5,209.0
ALL,840290907326,LP,USD,80.0,259.0
ALL,840290907333,LP,USD,67.5,209.0
ALL,840290907340,LP,USD,67.5,209.0
ALL,840290907357,LP,USD,67.5,209.0
ALL,840290907364,LP,USD,67.5,209.0
ALL,840290907371,LP,USD,67.5,209.0
ALL,840290907388,LP,USD,80.0,259.0
ALL,840290907395,LP,USD,80.0,259.0
ALL,840290907401,LP,USD,80.0,259.0
ALL,840290907418,LP,USD,80.0,259.0
ALL,840290907425,LP,USD,80.0,259.0
ALL,840290907432,LP,USD,67.5,209.0
ALL,840290907449,LP,USD,67.5,209.0
ALL,840290907456,LP,USD,80.0,259.0
ALL,840290907463,LP,USD,67.5,209.0
ALL,840290907470,LP,USD,67.5,209.0
ALL,840290907487,LP,USD,67.5,209.0
ALL,840290907494,LP,USD,67.5,209.0
ALL,840290907500,LP,USD,67.5,209.0
ALL,810070829940,LP,USD,67.5,209.0
ALL,810070829957,LP,USD,67.5,209.0
ALL,810070829971,LP,USD,67.5,209.0
ALL,810070829988,LP,USD,67.5,209.0
ALL,840290900051,LP,USD,67.5,209.0
ALL,840290900068,LP,USD,67.5,209.0
ALL,840290900877,LP,USD,67.5,209.0
ALL,840290904813,LP,USD,109.5,219.0
ALL,840290904714,LP,USD,109.5,219.0
ALL,840290904745,LP,USD,109.5,219.0
ALL,840290904752,LP,USD,109.5,219.0
ALL,840290904790,LP,USD,109.5,219.0
ALL,840290904769,LP,USD,134.5,269.0
ALL,840290904776,LP,USD,109.5,219.0
ALL,840290904257,LP,USD,134.5,269.0
ALL,840290904264,LP,USD,134.5,269.0
ALL,840290904295,LP,USD,134.5,269.0
ALL,840290904301,LP,USD,134.5,269.0
ALL,840290904271,LP,USD,109.5,219.0
ALL,840290904370,LP,USD,134.5,269.0
ALL,840290904387,LP,USD,109.5,219.0
ALL,840290904318,LP,USD,109.5,219.0
ALL,840290904325,LP,USD,109.5,219.0
ALL,840290904363,LP,USD,109.5,219.0
ALL,840290904332,LP,USD,134.5,269.0
ALL,840290904349,LP,USD,109.5,219.0
ALL,840290905841,LP,USD,134.5,269.0
ALL,840290905858,LP,USD,134.5,269.0
ALL,840290905865,LP,USD,134.5,269.0
ALL,840290905872,LP,USD,134.5,269.0
ALL,840290905889,LP,USD,109.5,219.0
ALL,840290906534,LP,USD,109.5,219.0
ALL,840290906541,LP,USD,109.5,219.0
ALL,840290906558,LP,USD,134.5,269.0
ALL,840290906565,LP,USD,109.5,219.0
ALL,840290906572,LP,USD,109.5,219.0
ALL,840290906589,LP,USD,109.5,219.0
ALL,840290906596,LP,USD,109.5,219.0
ALL,840290906602,LP,USD,109.5,219.0
ALL,840290906619,LP,USD,134.5,269.0
ALL,840290906626,LP,USD,134.5,269.0
ALL,840290906633,LP,USD,134.5,269.0
ALL,840290906640,LP,USD,134.5,269.0
ALL,840290900891,LP,USD,17.5,35.0
ALL,840290900921,LP,USD,17.5,35.0
ALL,810070822972,LP,USD,109.5,219.0
ALL,810070822880,LP,USD,134.5,269.0
ALL,810070822897,LP,USD,134.5,269.0
ALL,810070822903,LP,USD,109.5,219.0
ALL,810070822910,LP,USD,109.5,219.0
