Region,CatalogKey,ItemNumber,ColorCode,TagName,TagValue
GLOBAL,ALL,CAB17M704,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M724,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17MN00,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17MN20,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB220000,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220001,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220020,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220021,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220102,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220103,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220122,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220123,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220606,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220626,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220704,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220724,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220N00,220,Product Type,Sunglasses
GLOBAL,ALL,CAB220N20,220,Product Type,Sunglasses
GLOBAL,ALL,CAL141000,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141001,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141020,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141021,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141102,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141103,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141122,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141123,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141606,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141626,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141704,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141724,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141N00,141,Product Type,Sunglasses
GLOBAL,ALL,CAL141N20,141,Product Type,Sunglasses
GLOBAL,ALL,CAL220000,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220001,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220020,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220021,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220102,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220103,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220122,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220123,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220606,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220626,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220704,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220724,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220N00,220,Product Type,Sunglasses
GLOBAL,ALL,CAL220N20,220,Product Type,Sunglasses
GLOBAL,ALL,CAL413000,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413001,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413020,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413021,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413102,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413103,413,Product Type,Sunglasses
