SoldToID,ShipToID,FieldName,FieldValue
1001273,,drop_ship,N
1001283,,drop_ship,N
1001284,,drop_ship,N
1001290,,drop_ship,N
1001291,,drop_ship,N
1001294,,drop_ship,N
1001296,,drop_ship,N
1001301,,drop_ship,N
1001311,,drop_ship,N
1001312,,drop_ship,N
1001313,,drop_ship,N
1001318,,drop_ship,N
1001333,,drop_ship,N
1001336,,drop_ship,N
1001337,,drop_ship,N
1001340,,drop_ship,N
1001344,,drop_ship,N
1001345,,drop_ship,N
1001270,,drop_ship,N
1001276,,drop_ship,N
1001281,,drop_ship,N
1001285,,drop_ship,N
1001289,,drop_ship,N
1001298,,drop_ship,N
